date,platform,campaign,spend,clicks,impressions,cost_per_click,click_through_rate
2025-05-04,Google Ads,Retargeting,284.8,1826,27388,0.16,0.0667
2025-05-04,Meta Ads,Prospecting,304.31,550,1622,0.55,0.3391
2025-05-04,TikTok Ads,Retargeting,266.51,338,44094,0.79,0.0077
2025-05-05,Google Ads,Brand,88.48,1182,49196,0.07,0.024
2025-05-05,Meta Ads,Prospecting,45.38,1505,42890,0.03,0.0351
2025-05-05,TikTok Ads,Prospecting,359.6,530,45447,0.68,0.0117
2025-05-06,Google Ads,Retargeting,220.76,957,12999,0.23,0.0736
2025-05-06,Meta Ads,Prospecting,493.4,1655,31714,0.3,0.0522
2025-05-06,TikTok Ads,Retargeting,157.67,1970,29034,0.08,0.0679
2025-05-07,Google Ads,Retargeting,472.0,1825,15992,0.26,0.1141
2025-05-07,Meta Ads,Prospecting,325.1,198,21031,1.64,0.0094
2025-05-07,TikTok Ads,Prospecting,389.88,1751,6907,0.22,0.2535
2025-05-08,Google Ads,Retargeting,58.15,1514,16731,0.04,0.0905
2025-05-08,Meta Ads,Brand,99.25,137,6543,0.72,0.0209
2025-05-08,TikTok Ads,Retargeting,157.21,1923,33299,0.08,0.0577
2025-05-09,Google Ads,Brand,481.84,888,45370,0.54,0.0196
2025-05-09,Meta Ads,Retargeting,467.57,299,32434,1.56,0.0092
2025-05-09,TikTok Ads,Prospecting,267.21,1406,35891,0.19,0.0392
2025-05-10,Google Ads,Retargeting,79.85,48,41388,1.66,0.0012
2025-05-10,Meta Ads,Brand,457.23,1547,1477,0.3,1.0474
2025-05-10,TikTok Ads,Retargeting,223.99,1114,23613,0.2,0.0472
2025-05-11,Google Ads,Brand,497.23,1374,35610,0.36,0.0386
2025-05-11,Meta Ads,Retargeting,312.41,1263,30402,0.25,0.0415
2025-05-11,TikTok Ads,Brand,343.77,1826,35309,0.19,0.0517
2025-05-12,Google Ads,Brand,103.91,771,9737,0.13,0.0792
2025-05-12,Meta Ads,Retargeting,189.58,124,28703,1.53,0.0043
2025-05-12,TikTok Ads,Prospecting,201.97,784,8420,0.26,0.0931
2025-05-13,Google Ads,Prospecting,458.74,531,36331,0.86,0.0146
2025-05-13,Meta Ads,Brand,159.23,1009,20237,0.16,0.0499
2025-05-13,TikTok Ads,Prospecting,122.27,1531,42364,0.08,0.0361
2025-05-14,Google Ads,Retargeting,208.94,1910,20976,0.11,0.0911
2025-05-14,Meta Ads,Retargeting,267.45,1849,3321,0.14,0.5568
2025-05-14,TikTok Ads,Prospecting,448.4,1757,32999,0.26,0.0532
2025-05-15,Google Ads,Brand,190.76,1280,31169,0.15,0.0411
2025-05-15,Meta Ads,Prospecting,163.21,239,1337,0.68,0.1788
2025-05-15,TikTok Ads,Prospecting,447.29,401,27349,1.12,0.0147
2025-05-16,Google Ads,Prospecting,24.25,902,33246,0.03,0.0271
2025-05-16,Meta Ads,Brand,60.68,1073,11073,0.06,0.0969
2025-05-16,TikTok Ads,Prospecting,79.44,1018,1452,0.08,0.7011
2025-05-17,Google Ads,Brand,389.33,532,15817,0.73,0.0336
2025-05-17,Meta Ads,Prospecting,209.77,632,24887,0.33,0.0254
2025-05-17,TikTok Ads,Prospecting,448.25,1118,18660,0.4,0.0599
2025-05-18,Google Ads,Brand,494.9,1364,29793,0.36,0.0458
2025-05-18,Meta Ads,Brand,87.14,1550,29440,0.06,0.0526
2025-05-18,TikTok Ads,Brand,192.43,1802,47479,0.11,0.038
2025-05-19,Google Ads,Brand,73.12,603,3638,0.12,0.1658
2025-05-19,Meta Ads,Brand,209.38,1543,22706,0.14,0.068
2025-05-19,TikTok Ads,Brand,96.95,427,32411,0.23,0.0132
2025-05-20,Google Ads,Retargeting,491.81,263,28596,1.87,0.0092
2025-05-20,Meta Ads,Prospecting,284.06,1658,45678,0.17,0.0363
2025-05-20,TikTok Ads,Retargeting,81.17,1558,27206,0.05,0.0573
2025-05-21,Google Ads,Retargeting,368.48,1539,26483,0.24,0.0581
2025-05-21,Meta Ads,Brand,72.67,240,2386,0.3,0.1006
2025-05-21,TikTok Ads,Brand,94.66,1044,1894,0.09,0.5512
2025-05-22,Google Ads,Retargeting,133.52,1409,23422,0.09,0.0602
2025-05-22,Meta Ads,Prospecting,488.69,1530,1526,0.32,1.0026
2025-05-22,TikTok Ads,Prospecting,250.49,597,32845,0.42,0.0182
2025-05-23,Google Ads,Brand,385.23,527,41475,0.73,0.0127
2025-05-23,Meta Ads,Brand,370.04,402,17349,0.92,0.0232
2025-05-23,TikTok Ads,Prospecting,388.03,1789,18270,0.22,0.0979
2025-05-24,Google Ads,Retargeting,138.73,1700,29125,0.08,0.0584
2025-05-24,Meta Ads,Brand,247.47,1623,7754,0.15,0.2093
2025-05-24,TikTok Ads,Retargeting,370.62,1271,12874,0.29,0.0987
2025-05-25,Google Ads,Brand,496.42,1230,42216,0.4,0.0291
2025-05-25,Meta Ads,Retargeting,91.39,266,9670,0.34,0.0275
2025-05-25,TikTok Ads,Prospecting,38.42,413,10581,0.09,0.039
2025-05-26,Google Ads,Prospecting,28.48,428,6959,0.07,0.0615
2025-05-26,Meta Ads,Brand,202.57,1095,21083,0.18,0.0519
2025-05-26,TikTok Ads,Retargeting,323.99,493,15534,0.66,0.0317
2025-05-27,Google Ads,Prospecting,224.52,145,34414,1.55,0.0042
2025-05-27,Meta Ads,Prospecting,329.06,643,8212,0.51,0.0783
2025-05-27,TikTok Ads,Prospecting,194.52,1951,24004,0.1,0.0813
2025-05-28,Google Ads,Retargeting,220.68,675,4116,0.33,0.164
2025-05-28,Meta Ads,Brand,39.63,126,44281,0.31,0.0028
2025-05-28,TikTok Ads,Retargeting,174.39,604,31936,0.29,0.0189
2025-05-29,Google Ads,Prospecting,456.07,226,29239,2.02,0.0077
2025-05-29,Meta Ads,Brand,141.09,1026,24827,0.14,0.0413
2025-05-29,TikTok Ads,Prospecting,166.09,218,44840,0.76,0.0049
2025-05-30,Google Ads,Brand,347.82,1597,9539,0.22,0.1674
2025-05-30,Meta Ads,Prospecting,193.07,1678,24683,0.12,0.068
2025-05-30,TikTok Ads,Retargeting,393.83,1103,40630,0.36,0.0271
2025-05-31,Google Ads,Prospecting,134.36,585,14764,0.23,0.0396
2025-05-31,Meta Ads,Retargeting,204.34,1836,7970,0.11,0.2304
2025-05-31,TikTok Ads,Brand,322.19,1252,8887,0.26,0.1409
2025-06-01,Google Ads,Brand,301.55,1888,43883,0.16,0.043
2025-06-01,Meta Ads,Brand,112.61,932,7464,0.12,0.1249
2025-06-01,TikTok Ads,Brand,472.07,1287,23472,0.37,0.0548
2025-06-02,Google Ads,Prospecting,368.17,1578,14238,0.23,0.1108
2025-06-02,Meta Ads,Retargeting,365.97,109,9377,3.36,0.0116
2025-06-02,TikTok Ads,Brand,220.74,1477,17549,0.15,0.0842
2025-06-03,Google Ads,Retargeting,488.06,1852,24986,0.26,0.0741
2025-06-03,Meta Ads,Prospecting,322.34,260,29581,1.24,0.0088
2025-06-03,TikTok Ads,Brand,251.75,1092,34021,0.23,0.0321
2025-06-04,Google Ads,Brand,100.13,581,46659,0.17,0.0125
2025-06-04,Meta Ads,Brand,159.04,1977,38104,0.08,0.0519
2025-06-04,TikTok Ads,Brand,401.31,1440,13464,0.28,0.107
2025-06-05,Google Ads,Retargeting,410.98,1033,45872,0.4,0.0225
2025-06-05,Meta Ads,Retargeting,437.72,173,11847,2.53,0.0146
2025-06-05,TikTok Ads,Prospecting,380.35,806,37863,0.47,0.0213
2025-06-06,Google Ads,Prospecting,212.41,576,14561,0.37,0.0396
2025-06-06,Meta Ads,Brand,21.73,1191,15274,0.02,0.078
2025-06-06,TikTok Ads,Retargeting,354.43,1820,34606,0.19,0.0526
2025-06-07,Google Ads,Prospecting,261.83,1495,35411,0.18,0.0422
2025-06-07,Meta Ads,Prospecting,165.64,471,20422,0.35,0.0231
2025-06-07,TikTok Ads,Retargeting,148.89,263,12213,0.57,0.0215
2025-06-08,Google Ads,Brand,41.89,507,20126,0.08,0.0252
2025-06-08,Meta Ads,Brand,327.02,1949,19203,0.17,0.1015
2025-06-08,TikTok Ads,Brand,149.81,1639,4376,0.09,0.3745
2025-06-09,Google Ads,Retargeting,490.41,1706,14760,0.29,0.1156
2025-06-09,Meta Ads,Retargeting,75.77,1348,23771,0.06,0.0567
2025-06-09,TikTok Ads,Retargeting,310.48,775,22270,0.4,0.0348
2025-06-10,Google Ads,Brand,474.29,1830,36997,0.26,0.0495
2025-06-10,Meta Ads,Prospecting,366.6,856,41074,0.43,0.0208
2025-06-10,TikTok Ads,Prospecting,175.82,137,42022,1.28,0.0033
2025-06-11,Google Ads,Brand,415.49,469,48872,0.89,0.0096
2025-06-11,Meta Ads,Prospecting,104.83,52,36218,2.02,0.0014
2025-06-11,TikTok Ads,Retargeting,489.81,1613,39224,0.3,0.0411
2025-06-12,Google Ads,Brand,366.85,1429,26033,0.26,0.0549
2025-06-12,Meta Ads,Retargeting,143.53,1302,42569,0.11,0.0306
2025-06-12,TikTok Ads,Retargeting,284.42,1692,29979,0.17,0.0564
2025-06-13,Google Ads,Brand,175.65,437,39119,0.4,0.0112
2025-06-13,Meta Ads,Retargeting,407.71,1561,26917,0.26,0.058
2025-06-13,TikTok Ads,Brand,234.11,1514,48597,0.15,0.0312
2025-06-14,Google Ads,Prospecting,196.95,1867,32392,0.11,0.0576
2025-06-14,Meta Ads,Brand,258.06,960,13125,0.27,0.0731
2025-06-14,TikTok Ads,Brand,110.65,1024,48807,0.11,0.021
2025-06-15,Google Ads,Brand,330.83,63,21326,5.25,0.003
2025-06-15,Meta Ads,Brand,444.92,1694,26834,0.26,0.0631
2025-06-15,TikTok Ads,Retargeting,311.75,162,10405,1.92,0.0156
2025-06-16,Google Ads,Brand,224.67,951,43278,0.24,0.022
2025-06-16,Meta Ads,Prospecting,68.11,1098,9997,0.06,0.1098
2025-06-16,TikTok Ads,Retargeting,380.21,44,40537,8.64,0.0011
2025-06-17,Google Ads,Brand,201.38,62,8211,3.25,0.0076
2025-06-17,Meta Ads,Brand,386.45,1339,3866,0.29,0.3464
2025-06-17,TikTok Ads,Brand,139.2,191,18541,0.73,0.0103
2025-06-18,Google Ads,Brand,470.53,1248,1884,0.38,0.6624
2025-06-18,Meta Ads,Brand,479.66,237,36544,2.02,0.0065
2025-06-18,TikTok Ads,Retargeting,412.76,1766,47363,0.23,0.0373
2025-06-19,Google Ads,Brand,117.11,1003,37887,0.12,0.0265
2025-06-19,Meta Ads,Prospecting,411.42,649,22741,0.63,0.0285
2025-06-19,TikTok Ads,Prospecting,94.17,134,36620,0.7,0.0037
2025-06-20,Google Ads,Retargeting,148.38,1133,9065,0.13,0.125
2025-06-20,Meta Ads,Brand,415.96,230,36693,1.81,0.0063
2025-06-20,TikTok Ads,Prospecting,69.23,1835,28216,0.04,0.065
2025-06-21,Google Ads,Brand,20.58,479,2572,0.04,0.1862
2025-06-21,Meta Ads,Brand,225.03,321,24154,0.7,0.0133
2025-06-21,TikTok Ads,Retargeting,157.69,1907,45853,0.08,0.0416
2025-06-22,Google Ads,Prospecting,349.65,1484,8366,0.24,0.1774
2025-06-22,Meta Ads,Prospecting,101.39,245,15714,0.41,0.0156
2025-06-22,TikTok Ads,Brand,479.1,597,24416,0.8,0.0245
2025-06-23,Google Ads,Brand,315.53,262,24625,1.2,0.0106
2025-06-23,Meta Ads,Brand,449.88,1258,10902,0.36,0.1154
2025-06-23,TikTok Ads,Brand,225.74,705,40296,0.32,0.0175
2025-06-24,Google Ads,Brand,346.13,327,44730,1.06,0.0073
2025-06-24,Meta Ads,Retargeting,164.75,1694,19809,0.1,0.0855
2025-06-24,TikTok Ads,Prospecting,440.19,575,33718,0.77,0.0171
2025-06-25,Google Ads,Retargeting,197.17,563,47616,0.35,0.0118
2025-06-25,Meta Ads,Brand,398.65,1784,10741,0.22,0.1661
2025-06-25,TikTok Ads,Retargeting,90.36,322,26598,0.28,0.0121
2025-06-26,Google Ads,Prospecting,366.24,1628,32354,0.22,0.0503
2025-06-26,Meta Ads,Brand,74.32,895,48625,0.08,0.0184
2025-06-26,TikTok Ads,Prospecting,89.44,681,9358,0.13,0.0728
2025-06-27,Google Ads,Brand,388.42,742,21926,0.52,0.0338
2025-06-27,Meta Ads,Prospecting,223.44,1440,28128,0.16,0.0512
2025-06-27,TikTok Ads,Retargeting,400.88,702,10058,0.57,0.0698
2025-06-28,Google Ads,Retargeting,462.37,804,28437,0.58,0.0283
2025-06-28,Meta Ads,Retargeting,258.61,1113,33283,0.23,0.0334
2025-06-28,TikTok Ads,Retargeting,277.38,491,26206,0.56,0.0187
2025-06-29,Google Ads,Brand,298.86,883,35533,0.34,0.0249
2025-06-29,Meta Ads,Retargeting,392.76,1681,15374,0.23,0.1093
2025-06-29,TikTok Ads,Retargeting,61.88,760,1187,0.08,0.6403
2025-06-30,Google Ads,Brand,497.07,55,24750,9.04,0.0022
2025-06-30,Meta Ads,Retargeting,247.48,293,8219,0.84,0.0356
2025-06-30,TikTok Ads,Brand,457.45,759,10132,0.6,0.0749
2025-07-01,Google Ads,Prospecting,240.99,1730,37143,0.14,0.0466
2025-07-01,Meta Ads,Prospecting,136.4,1715,15718,0.08,0.1091
2025-07-01,TikTok Ads,Brand,378.56,260,46598,1.46,0.0056
2025-07-02,Google Ads,Retargeting,88.68,1521,2726,0.06,0.558
2025-07-02,Meta Ads,Retargeting,483.16,781,4544,0.62,0.1719
2025-07-02,TikTok Ads,Retargeting,70.88,1211,5834,0.06,0.2076
2025-07-03,Google Ads,Prospecting,421.97,1802,11366,0.23,0.1585
2025-07-03,Meta Ads,Brand,90.51,309,6176,0.29,0.05
2025-07-03,TikTok Ads,Brand,56.99,1185,28295,0.05,0.0419
2025-07-04,Google Ads,Brand,387.4,982,49729,0.39,0.0197
2025-07-04,Meta Ads,Brand,379.09,1450,20628,0.26,0.0703
2025-07-04,TikTok Ads,Prospecting,217.53,710,30096,0.31,0.0236
2025-07-05,Google Ads,Retargeting,353.72,607,8291,0.58,0.0732
2025-07-05,Meta Ads,Brand,48.8,1335,3104,0.04,0.4301
2025-07-05,TikTok Ads,Retargeting,380.54,1050,11508,0.36,0.0912
2025-07-06,Google Ads,Brand,210.27,887,45558,0.24,0.0195
2025-07-06,Meta Ads,Prospecting,285.99,1718,17911,0.17,0.0959
2025-07-06,TikTok Ads,Retargeting,260.9,1472,15897,0.18,0.0926
2025-07-07,Google Ads,Prospecting,467.1,576,7025,0.81,0.082
2025-07-07,Meta Ads,Retargeting,201.23,1967,9200,0.1,0.2138
2025-07-07,TikTok Ads,Retargeting,121.69,1287,4669,0.09,0.2756
2025-07-08,Google Ads,Brand,208.3,1704,49889,0.12,0.0342
2025-07-08,Meta Ads,Retargeting,310.44,178,46378,1.74,0.0038
2025-07-08,TikTok Ads,Prospecting,249.16,1356,43066,0.18,0.0315
2025-07-09,Google Ads,Prospecting,417.08,357,4582,1.17,0.0779
2025-07-09,Meta Ads,Prospecting,330.39,418,18689,0.79,0.0224
2025-07-09,TikTok Ads,Brand,70.11,762,40530,0.09,0.0188
2025-07-10,Google Ads,Prospecting,33.46,597,11666,0.06,0.0512
2025-07-10,Meta Ads,Retargeting,71.1,453,40132,0.16,0.0113
2025-07-10,TikTok Ads,Brand,383.13,653,13303,0.59,0.0491
2025-07-11,Google Ads,Retargeting,116.83,1923,3121,0.06,0.6161
2025-07-11,Meta Ads,Brand,149.2,1187,38014,0.13,0.0312
2025-07-11,TikTok Ads,Brand,290.59,1638,32706,0.18,0.0501
2025-07-12,Google Ads,Brand,43.06,210,21224,0.21,0.0099
2025-07-12,Meta Ads,Brand,490.66,1559,19507,0.31,0.0799
2025-07-12,TikTok Ads,Prospecting,260.1,664,26601,0.39,0.025
2025-07-13,Google Ads,Retargeting,190.8,285,47049,0.67,0.0061
2025-07-13,Meta Ads,Retargeting,66.74,854,49591,0.08,0.0172
2025-07-13,TikTok Ads,Retargeting,68.48,1673,10842,0.04,0.1543
2025-07-14,Google Ads,Brand,301.84,802,32257,0.38,0.0249
2025-07-14,Meta Ads,Retargeting,437.03,96,20013,4.55,0.0048
2025-07-14,TikTok Ads,Brand,92.74,968,6161,0.1,0.1571
2025-07-15,Google Ads,Retargeting,64.78,1491,16176,0.04,0.0922
2025-07-15,Meta Ads,Brand,407.59,1359,10231,0.3,0.1328
2025-07-15,TikTok Ads,Retargeting,97.3,1993,33874,0.05,0.0588
2025-07-16,Google Ads,Retargeting,496.29,1266,43689,0.39,0.029
2025-07-16,Meta Ads,Retargeting,466.51,719,30326,0.65,0.0237
2025-07-16,TikTok Ads,Brand,182.73,757,41859,0.24,0.0181
2025-07-17,Google Ads,Prospecting,39.21,1479,45752,0.03,0.0323
2025-07-17,Meta Ads,Prospecting,134.77,1270,40772,0.11,0.0311
2025-07-17,TikTok Ads,Brand,479.85,1181,42142,0.41,0.028
2025-07-18,Google Ads,Prospecting,66.75,50,10346,1.34,0.0048
2025-07-18,Meta Ads,Prospecting,282.63,1653,6712,0.17,0.2463
2025-07-18,TikTok Ads,Prospecting,65.17,662,12122,0.1,0.0546
2025-07-19,Google Ads,Prospecting,97.51,593,38782,0.16,0.0153
2025-07-19,Meta Ads,Prospecting,189.62,165,12743,1.15,0.0129
2025-07-19,TikTok Ads,Retargeting,390.53,548,32015,0.71,0.0171
2025-07-20,Google Ads,Prospecting,386.31,925,43617,0.42,0.0212
2025-07-20,Meta Ads,Brand,471.12,1184,32998,0.4,0.0359
2025-07-20,TikTok Ads,Brand,194.47,607,27275,0.32,0.0223
2025-07-21,Google Ads,Prospecting,431.36,1898,45602,0.23,0.0416
2025-07-21,Meta Ads,Brand,231.6,1069,41935,0.22,0.0255
2025-07-21,TikTok Ads,Prospecting,199.37,1417,28079,0.14,0.0505
2025-07-22,Google Ads,Retargeting,236.04,1816,45731,0.13,0.0397
2025-07-22,Meta Ads,Brand,317.89,1338,4739,0.24,0.2823
2025-07-22,TikTok Ads,Retargeting,399.48,1453,37752,0.27,0.0385
2025-07-23,Google Ads,Brand,94.19,235,20048,0.4,0.0117
2025-07-23,Meta Ads,Prospecting,95.94,837,5782,0.11,0.1448
2025-07-23,TikTok Ads,Brand,206.35,966,44853,0.21,0.0215
2025-07-24,Google Ads,Brand,187.49,979,43105,0.19,0.0227
2025-07-24,Meta Ads,Retargeting,452.06,972,8151,0.47,0.1192
2025-07-24,TikTok Ads,Brand,106.53,241,27014,0.44,0.0089
2025-07-25,Google Ads,Prospecting,115.75,693,5225,0.17,0.1326
2025-07-25,Meta Ads,Prospecting,184.36,1257,32869,0.15,0.0382
2025-07-25,TikTok Ads,Brand,357.1,995,8492,0.36,0.1172
2025-07-26,Google Ads,Prospecting,238.2,1136,11206,0.21,0.1014
2025-07-26,Meta Ads,Prospecting,89.85,457,21983,0.2,0.0208
2025-07-26,TikTok Ads,Retargeting,35.04,1251,25922,0.03,0.0483
2025-07-27,Google Ads,Brand,469.5,760,29187,0.62,0.026
2025-07-27,Meta Ads,Prospecting,122.44,453,2503,0.27,0.181
2025-07-27,TikTok Ads,Retargeting,223.0,536,42660,0.42,0.0126
2025-07-28,Google Ads,Brand,60.12,161,18950,0.37,0.0085
2025-07-28,Meta Ads,Prospecting,59.22,1809,47675,0.03,0.0379
2025-07-28,TikTok Ads,Prospecting,438.22,1094,15031,0.4,0.0728
2025-07-29,Google Ads,Retargeting,448.68,396,4522,1.13,0.0876
2025-07-29,Meta Ads,Brand,449.58,897,23414,0.5,0.0383
2025-07-29,TikTok Ads,Prospecting,98.98,735,28466,0.13,0.0258
2025-07-30,Google Ads,Prospecting,248.24,1430,11530,0.17,0.124
2025-07-30,Meta Ads,Retargeting,229.66,1889,46409,0.12,0.0407
2025-07-30,TikTok Ads,Retargeting,206.79,40,37759,5.17,0.0011
2025-07-31,Google Ads,Retargeting,115.31,1500,44775,0.08,0.0335
2025-07-31,Meta Ads,Retargeting,315.93,683,44520,0.46,0.0153
2025-07-31,TikTok Ads,Retargeting,376.56,1528,49046,0.25,0.0312
2025-08-01,Google Ads,Prospecting,26.81,1856,31058,0.01,0.0598
2025-08-01,Meta Ads,Brand,259.73,668,8445,0.39,0.0791
2025-08-01,TikTok Ads,Retargeting,215.07,1086,48335,0.2,0.0225
2025-08-02,Google Ads,Brand,494.35,1951,9239,0.25,0.2112
2025-08-02,Meta Ads,Retargeting,235.68,1204,7386,0.2,0.163
2025-08-02,TikTok Ads,Brand,124.94,404,28536,0.31,0.0142
2025-08-03,Google Ads,Retargeting,282.12,360,40383,0.78,0.0089
2025-08-03,Meta Ads,Prospecting,123.75,449,13527,0.28,0.0332
2025-08-03,TikTok Ads,Retargeting,296.88,49,25265,6.06,0.0019
2025-08-04,Google Ads,Prospecting,27.77,1856,21117,0.01,0.0879
2025-08-04,Meta Ads,Retargeting,413.14,275,46830,1.5,0.0059
2025-08-04,TikTok Ads,Prospecting,331.48,953,28135,0.35,0.0339
2025-08-05,Google Ads,Prospecting,188.83,1716,36551,0.11,0.0469
2025-08-05,Meta Ads,Prospecting,271.12,1586,23008,0.17,0.0689
2025-08-05,TikTok Ads,Brand,464.65,959,29074,0.48,0.033
2025-08-06,Google Ads,Prospecting,104.91,1238,11659,0.08,0.1062
2025-08-06,Meta Ads,Retargeting,229.22,603,44227,0.38,0.0136
2025-08-06,TikTok Ads,Retargeting,346.54,1318,19562,0.26,0.0674
2025-08-07,Google Ads,Retargeting,317.78,1914,7502,0.17,0.2551
2025-08-07,Meta Ads,Brand,406.85,232,6874,1.75,0.0338
2025-08-07,TikTok Ads,Retargeting,27.88,1929,27953,0.01,0.069
2025-08-08,Google Ads,Brand,258.27,1559,41883,0.17,0.0372
2025-08-08,Meta Ads,Retargeting,67.86,929,33988,0.07,0.0273
2025-08-08,TikTok Ads,Retargeting,406.82,1387,19999,0.29,0.0694
2025-08-09,Google Ads,Prospecting,121.7,1611,30794,0.08,0.0523
2025-08-09,Meta Ads,Retargeting,202.92,420,31774,0.48,0.0132
2025-08-09,TikTok Ads,Brand,188.29,1645,31405,0.11,0.0524
2025-08-10,Google Ads,Prospecting,455.84,1340,47126,0.34,0.0284
2025-08-10,Meta Ads,Retargeting,209.99,1944,25552,0.11,0.0761
2025-08-10,TikTok Ads,Brand,263.63,568,44167,0.46,0.0129
2025-08-11,Google Ads,Prospecting,167.55,1868,28178,0.09,0.0663
2025-08-11,Meta Ads,Retargeting,135.95,1863,28168,0.07,0.0661
2025-08-11,TikTok Ads,Brand,27.45,334,25537,0.08,0.0131
2025-08-12,Google Ads,Retargeting,413.62,1248,21805,0.33,0.0572
2025-08-12,Meta Ads,Prospecting,101.8,1191,29181,0.09,0.0408
2025-08-12,TikTok Ads,Brand,286.75,821,13626,0.35,0.0603
2025-08-13,Google Ads,Retargeting,329.33,1716,4380,0.19,0.3918
2025-08-13,Meta Ads,Retargeting,225.97,1943,42698,0.12,0.0455
2025-08-13,TikTok Ads,Prospecting,489.13,375,27418,1.3,0.0137
2025-08-14,Google Ads,Prospecting,268.29,915,16136,0.29,0.0567
2025-08-14,Meta Ads,Brand,360.81,278,34046,1.3,0.0082
2025-08-14,TikTok Ads,Brand,323.09,1626,26690,0.2,0.0609
2025-08-15,Google Ads,Retargeting,460.0,1734,37235,0.27,0.0466
2025-08-15,Meta Ads,Brand,475.38,437,7111,1.09,0.0615
2025-08-15,TikTok Ads,Brand,32.31,43,42215,0.75,0.001
2025-08-16,Google Ads,Retargeting,93.46,1285,47371,0.07,0.0271
2025-08-16,Meta Ads,Retargeting,461.89,181,38473,2.55,0.0047
2025-08-16,TikTok Ads,Prospecting,32.14,1523,9555,0.02,0.1594
2025-08-17,Google Ads,Prospecting,324.54,1612,24469,0.2,0.0659
2025-08-17,Meta Ads,Brand,135.07,1858,15532,0.07,0.1196
2025-08-17,TikTok Ads,Prospecting,113.04,1741,17072,0.06,0.102
2025-08-18,Google Ads,Retargeting,394.41,1629,25779,0.24,0.0632
2025-08-18,Meta Ads,Prospecting,336.44,583,6437,0.58,0.0906
2025-08-18,TikTok Ads,Brand,321.17,1327,38968,0.24,0.0341
2025-08-19,Google Ads,Brand,73.25,1918,40052,0.04,0.0479
2025-08-19,Meta Ads,Brand,71.4,598,18170,0.12,0.0329
2025-08-19,TikTok Ads,Brand,64.53,1032,24684,0.06,0.0418
2025-08-20,Google Ads,Brand,207.58,1025,2438,0.2,0.4204
2025-08-20,Meta Ads,Prospecting,55.32,1984,42004,0.03,0.0472
2025-08-20,TikTok Ads,Brand,120.94,879,25592,0.14,0.0343
2025-08-21,Google Ads,Prospecting,324.1,943,11558,0.34,0.0816
2025-08-21,Meta Ads,Brand,163.4,1870,12709,0.09,0.1471
2025-08-21,TikTok Ads,Retargeting,292.3,1262,3061,0.23,0.4123
2025-08-22,Google Ads,Brand,488.44,730,32713,0.67,0.0223
2025-08-22,Meta Ads,Retargeting,308.0,30,11380,10.27,0.0026
2025-08-22,TikTok Ads,Retargeting,376.01,1917,8968,0.2,0.2138
2025-08-23,Google Ads,Brand,310.93,1117,2509,0.28,0.4452
2025-08-23,Meta Ads,Retargeting,265.64,332,15175,0.8,0.0219
2025-08-23,TikTok Ads,Prospecting,75.1,464,2933,0.16,0.1582
2025-08-24,Google Ads,Prospecting,86.51,190,48693,0.46,0.0039
2025-08-24,Meta Ads,Retargeting,471.13,568,18935,0.83,0.03
2025-08-24,TikTok Ads,Prospecting,115.63,208,23842,0.56,0.0087
2025-08-25,Google Ads,Retargeting,284.72,622,31608,0.46,0.0197
2025-08-25,Meta Ads,Retargeting,408.33,913,34597,0.45,0.0264
2025-08-25,TikTok Ads,Prospecting,462.73,532,12335,0.87,0.0431
2025-08-26,Google Ads,Brand,349.79,1837,48015,0.19,0.0383
2025-08-26,Meta Ads,Prospecting,481.7,230,39249,2.09,0.0059
2025-08-26,TikTok Ads,Retargeting,169.56,1646,14489,0.1,0.1136
2025-08-27,Google Ads,Retargeting,254.16,1828,30239,0.14,0.0605
2025-08-27,Meta Ads,Prospecting,306.24,576,21889,0.53,0.0263
2025-08-27,TikTok Ads,Retargeting,71.63,804,29135,0.09,0.0276
2025-08-28,Google Ads,Brand,292.23,785,42464,0.37,0.0185
2025-08-28,Meta Ads,Brand,235.71,1841,3212,0.13,0.5732
2025-08-28,TikTok Ads,Retargeting,141.47,859,20233,0.16,0.0425
2025-08-29,Google Ads,Retargeting,416.81,1341,35766,0.31,0.0375
2025-08-29,Meta Ads,Prospecting,211.19,254,12790,0.83,0.0199
2025-08-29,TikTok Ads,Prospecting,226.11,400,24445,0.57,0.0164
2025-08-30,Google Ads,Brand,54.87,1365,25357,0.04,0.0538
2025-08-30,Meta Ads,Prospecting,89.62,663,9015,0.14,0.0735
2025-08-30,TikTok Ads,Brand,172.92,42,47976,4.12,0.0009
2025-08-31,Google Ads,Prospecting,122.61,1182,22073,0.1,0.0535
2025-08-31,Meta Ads,Brand,289.59,809,19586,0.36,0.0413
2025-08-31,TikTok Ads,Retargeting,121.84,465,7744,0.26,0.06
2025-09-01,Google Ads,Retargeting,153.46,1264,44997,0.12,0.0281
2025-09-01,Meta Ads,Brand,295.5,1343,28639,0.22,0.0469
2025-09-01,TikTok Ads,Retargeting,382.98,670,21979,0.57,0.0305
2025-09-02,Google Ads,Brand,114.62,1663,33370,0.07,0.0498
2025-09-02,Meta Ads,Prospecting,42.46,582,28606,0.07,0.0203
2025-09-02,TikTok Ads,Brand,79.56,370,40415,0.22,0.0092
2025-09-03,Google Ads,Prospecting,303.76,504,38775,0.6,0.013
2025-09-03,Meta Ads,Brand,156.82,1338,38732,0.12,0.0345
2025-09-03,TikTok Ads,Brand,457.59,602,9589,0.76,0.0628
2025-09-04,Google Ads,Prospecting,37.76,1112,35571,0.03,0.0313
